"","postcode_2016","longitude","latitude","points","focal_longitude","focal_latitude","focal_dist","focal_angle","rownumber","hex_long","hex_lat","hex_id"
"42","2017",151.207804946108,-33.9030596752354,"Sydney",151.1851798,-33.92001097,2813.08886733518,47.918347414962,42,151.414389268733,-33.8716420268834,15091
"43","3050",144.956230613674,-37.7993803937348,"Melbourne",144.9750162,-37.82003131,2826.71298667395,-35.6986074345429,43,144.614389268733,-37.6821538035349,10239
"44","2204",151.155611182804,-33.9112647499333,"Sydney",151.1851798,-33.92001097,2901.39706758628,-70.3737294008854,44,150.914389268733,-33.6984369461265,15307
"45","2600",149.113748991239,-35.3060619093593,"Canberra",149.1290262,-35.28302855,2908.8574015824,-151.566618754781,45,148.914389268733,-35.4304877536954,13107
"46","3010",144.961170611158,-37.7958915503001,"Melbourne",144.9750162,-37.82003131,2943.72454509627,-24.3735120155171,46,144.714389268733,-37.508948722778,10458
"47","4169",153.042838711796,-27.4806868612053,"Brisbane",153.0350927,-27.45503091,2944.25855449941,165.001734189373,47,153.014389268733,-27.6362591196354,22983
"48","5006",138.595332456185,-34.9084050838289,"Adelaide",138.6000048,-34.93498777,2979.81446129444,-8.19949757657285,48,138.614389268733,-34.5644623499109,14151
"49","3008",144.939881958851,-37.8181474069336,"Melbourne",144.9750162,-37.82003131,3100.56222471303,-86.1060717334346,49,144.514389268733,-37.8553588842918,10019
"50","7010",147.26190871257,-42.8363882899937,"Hobart",147.2950297,-42.85000853,3101.67765900751,-60.7027391879718,50,147.114389268733,-42.7051011454847,3900
"51","3206",144.961239435569,-37.8465681479809,"Melbourne",144.9750162,-37.82003131,3185.33533037202,-157.700728568793,51,144.914389268733,-38.2017690458056,9583
"52","5067",138.631567906358,-34.92217912039,"Adelaide",138.6000048,-34.93498777,3214.93287751871,63.6568478099258,52,138.614389268733,-34.9108725114247,13713
"53","2033",151.218945742128,-33.912838258766,"Sydney",151.1851798,-33.92001097,3222.2870200374,75.6323948324527,53,151.314389268733,-33.6984369461265,15309
"54","5031",138.567639973748,-34.9229828663533,"Adelaide",138.6000048,-34.93498777,3243.16286783398,-65.6476557223371,54,138.414389268733,-34.9108725114247,13712
"55","4030",153.03571136066,-27.4255545150113,"Brisbane",153.0350927,-27.45503091,3266.87784524437,1.06698116103597,55,153.114389268733,-27.1166438773648,23640
"56","6006",115.852952613593,-31.9269232194639,"Perth",115.8399987,-31.95501463,3347.11060902641,21.3677571429864,56,116.014389268733,-31.7931810578007,17542
"57","7000",147.315159563599,-42.8768977178976,"Hobart",147.2950297,-42.85000853,3410.15131939263,151.238546549303,57,147.514389268733,-43.0515113069984,3464
"58","2048",151.166073864695,-33.8931405809001,"Sydney",151.1851798,-33.92001097,3464.93105930872,-30.5406669872287,58,151.014389268733,-33.5252318653696,15527
"59","6004",115.876771571287,-31.9567320613014,"Perth",115.8399987,-31.95501463,3481.67180957889,93.1409688640906,59,115.814389268733,-32.1395912193145,17103
"60","2050",151.177297299333,-33.8891763290737,"Sydney",151.1851798,-33.92001097,3497.04744064236,-11.9766697549096,60,151.114389268733,-33.3520267846127,15746
"61","5065",138.638733124575,-34.938642624419,"Adelaide",138.6000048,-34.93498777,3561.32324328433,96.5557592951734,61,138.814389268733,-34.9108725114247,13714
"62","3051",144.944968307061,-37.7985499982351,"Melbourne",144.9750162,-37.82003131,3561.76400408509,-47.8495987844174,62,144.514389268733,-37.508948722778,10457
"63","2016",151.206686249375,-33.8930892408785,"Sydney",151.1851798,-33.92001097,3587.98435391481,33.5385861758887,63,151.514389268733,-33.6984369461265,15310
"64","4064",152.999798130022,-27.4630264550514,"Brisbane",153.0350927,-27.45503091,3599.57724544439,-104.313517836714,64,152.614389268733,-27.6362591196354,22981
"65","2006",151.187287885239,-33.8875180493989,"Sydney",151.1851798,-33.92001097,3609.41860181499,3.08166428587024,65,151.414389268733,-33.5252318653696,15529
"66","5033",138.560351883696,-34.9389417474077,"Adelaide",138.6000048,-34.93498777,3649.08977787394,-96.9237783946771,66,138.214389268733,-34.9108725114247,13711
"67","2008",151.196744228483,-33.8883045913743,"Sydney",151.1851798,-33.92001097,3675.95150837856,16.8388797245713,67,151.314389268733,-33.3520267846127,15747
"68","4101",153.013975779589,-27.482599608119,"Brisbane",153.0350927,-27.45503091,3699.86199304698,-145.794313746797,68,152.914389268733,-27.8094642003923,22763
"69","5069",138.625754051986,-34.9087237295922,"Adelaide",138.6000048,-34.93498777,3745.08170196894,38.7871253187297,69,138.914389268733,-34.7376674306678,13933
"70","3054",144.968124782498,-37.7856918392955,"Melbourne",144.9750162,-37.82003131,3859.46341082885,-9.00804336048083,70,145.014389268733,-37.3357436420211,10679
"71","4007",153.066334635548,-27.4338192808576,"Brisbane",153.0350927,-27.45503091,3881.29763864205,52.5751125082227,71,153.414389268733,-27.2898489581217,23423
"72","6014",115.804799470738,-31.9369032631427,"Perth",115.8399987,-31.95501463,3887.05181304826,-58.7590776694773,72,115.614389268733,-31.7931810578007,17540
"73","2205",151.147709055128,-33.936797261643,"Sydney",151.1851798,-33.92001097,3933.27229732363,-118.354667130879,73,150.914389268733,-34.0448471076403,14869
"74","3068",144.989654272883,-37.7863031483313,"Melbourne",144.9750162,-37.82003131,3959.33862727968,18.9230611515826,74,145.214389268733,-37.3357436420211,10680
"75","6016",115.831584380422,-31.9200065918068,"Perth",115.8399987,-31.95501463,3962.60344634192,-11.5262815150603,75,115.714389268733,-31.6199759770438,17759
"76","6151",115.869623113191,-31.9810191778798,"Perth",115.8399987,-31.95501463,4019.51456340083,135.970062724094,76,116.014389268733,-32.1395912193145,17104
"77","2602",149.140087212132,-35.2478340874185,"Canberra",149.1290262,-35.28302855,4032.3075313691,14.3888044050765,77,149.114389268733,-35.0840775921816,13546
"78","2032",151.22848041918,-33.9260476029034,"Sydney",151.1851798,-33.92001097,4059.54004159851,99.5250745513473,78,151.214389268733,-34.2180521883972,14652
"79","0800",130.843655444876,-12.4618221951249,"Darwin",130.8500386,-12.42535398,4093.59626629285,-170.299953364744,79,130.814389268733,-12.7406221745431,41706
"80","2049",151.152217415026,-33.8947198269812,"Sydney",151.1851798,-33.92001097,4142.87296641704,-47.2376924650067,80,150.714389268733,-33.6984369461265,15306
