"","sa1_7dig_2011","longitude","latitude","points","focal_longitude","focal_latitude","focal_dist","focal_angle","rownumber","hex_long","hex_lat","hex_id"
"4854","2133222",144.805418382764,-37.7172820116264,"Melbourne",144.9750162,-37.82003131,18797.6331954089,-52.4811088233213,4854,144.807381551304,-37.7175952825497,390408
"4855","2133042",144.773288559112,-37.7647278316037,"Melbourne",144.9750162,-37.82003131,18798.539833508,-70.8055017952233,4855,144.774381551304,-37.764360654354,375889
"4856","2132121",145.17477106506,-37.8800043139056,"Melbourne",144.9750162,-37.82003131,18798.7131075597,110.756742361674,4856,145.170381551304,-37.8786760076536,340557
"4857","2132149",145.170832692816,-37.8877322655439,"Melbourne",144.9750162,-37.82003131,18800.2244966463,113.587315355735,4857,145.165881551304,-37.8864702362876,338137
"4858","2121863",145.023642308361,-37.6550920705678,"Melbourne",144.9750162,-37.82003131,18801.977114724,13.1088665337669,4858,145.023381551304,-37.6552414534772,409824
"4859","2134221",144.774378609471,-37.8782279716749,"Melbourne",144.9750162,-37.82003131,18802.9461466708,-110.108488627945,4859,144.774381551304,-37.8786760076536,340425
"4860","2132521",145.155547554357,-37.9107111905434,"Melbourne",144.9750162,-37.82003131,18805.6529032598,122.411307699631,4860,145.152381551304,-37.9098529221898,330879
"4861","2132120",145.173823952909,-37.8821699470232,"Melbourne",144.9750162,-37.82003131,18807.3553164968,111.53449616351,4861,145.168881551304,-37.8812740838649,339750
"4862","2120944",145.13985395716,-37.7123726226475,"Melbourne",144.9750162,-37.82003131,18807.7695655296,50.386269154994,4862,145.140381551304,-37.712399130127,392131
"4863","2132906",144.780225439639,-37.7504110236482,"Melbourne",144.9750162,-37.82003131,18818.4975303597,-65.6059961011535,4863,144.781881551304,-37.7513702732973,379921
"4864","2122034",145.070168957859,-37.6681849584149,"Melbourne",144.9750162,-37.82003131,18825.0220372292,26.3300360142504,4864,145.069881551304,-37.6682318345339,405809
"4865","2122022",145.049791830075,-37.661148610028,"Melbourne",144.9750162,-37.82003131,18826.0878161672,20.3910247492187,4865,145.048881551304,-37.6630356821112,407414
"4866","2127307",145.185741626395,-37.8489829679455,"Melbourne",144.9750162,-37.82003131,18826.3875034028,99.8037308739704,4866,145.182381551304,-37.8474990931173,350233
"4867","2115868",145.175447335262,-37.7610832613504,"Melbourne",144.9750162,-37.82003131,18827.7747639388,69.5250656706715,4867,145.171881551304,-37.7617625781427,376827
"4868","2134205",144.781032536519,-37.8917117828532,"Melbourne",144.9750162,-37.82003131,18834.349829325,-115.020373115025,4868,144.781881551304,-37.8916663887103,336397
"4869","2118802",145.074992154824,-37.9700991106258,"Melbourne",144.9750162,-37.82003131,18835.4979603961,152.237158113882,4869,145.075881551304,-37.9696086750509,312315
"4870","2127039",145.188961029483,-37.8188989206498,"Melbourne",144.9750162,-37.82003131,18837.7565465668,89.5505126755061,4870,145.183881551304,-37.8189202547924,359099
"4871","2133022",144.771330627547,-37.7681972200857,"Melbourne",144.9750162,-37.82003131,18840.0912084996,-72.0870292821683,4871,144.771381551304,-37.7695568067767,374276
"4872","2116817",145.043981934792,-37.9807930134271,"Melbourne",144.9750162,-37.82003131,18846.5122344528,161.277330923232,4872,145.042881551304,-37.9800009798963,309080
"4873","2127035",145.188686536136,-37.8100080336465,"Melbourne",144.9750162,-37.82003131,18847.160616012,86.5362583962268,4873,145.185381551304,-37.8111260261584,361518
"4874","2122031",145.062328446367,-37.6649245171184,"Melbourne",144.9750162,-37.82003131,18857.3530845163,23.9689431369504,4874,145.062381551304,-37.6656337583226,406613
"4875","2124704",144.910893182751,-37.6579146183968,"Melbourne",144.9750162,-37.82003131,18860.4456036151,-17.3496974094645,4875,144.910881551304,-37.6578395296885,408980
"4876","2121819",145.037355170048,-37.6574554376588,"Melbourne",144.9750162,-37.82003131,18862.672903447,16.8499324661031,4876,145.036881551304,-37.6578395296885,409022
"4877","2120908",145.134231927449,-37.7064048158987,"Melbourne",144.9750162,-37.82003131,18864.5884351733,47.877275132655,4877,145.134381551304,-37.7072029777042,393741
"4878","2116804",145.02632298799,-37.985061105553,"Melbourne",144.9750162,-37.82003131,18865.0949034828,166.201012681265,4878,145.024881551304,-37.9851971323191,307462
"4879","2115803",145.180666397304,-37.7724517634451,"Melbourne",144.9750162,-37.82003131,18866.8568653469,73.6174780967863,4879,145.177881551304,-37.7721548829881,373605
"4880","2126123",145.183191444539,-37.7798938106763,"Melbourne",144.9750162,-37.82003131,18867.6522016055,76.223408219872,4880,145.179381551304,-37.7799491116221,371188
"4881","2127329",145.182787748912,-37.8618283231987,"Melbourne",144.9750162,-37.82003131,18867.7324631242,104.227519159592,4881,145.177881551304,-37.8604894741741,346201
"4882","2121310",145.108344785781,-37.6869939196737,"Melbourne",144.9750162,-37.82003131,18870.441214422,38.3518965802841,4882,145.107381551304,-37.6864183680134,400180
"4883","2116805",145.031023176463,-37.9841927043595,"Melbourne",144.9750162,-37.82003131,18875.1594084804,164.915719408974,4883,145.030881551304,-37.9851971323191,307464
"4884","2133038",144.775390081219,-37.7581718307305,"Melbourne",144.9750162,-37.82003131,18876.7476615482,-68.5280103186337,4884,144.777381551304,-37.7591645019313,377502
"4885","2121307",145.104435220437,-37.6844510045449,"Melbourne",144.9750162,-37.82003131,18882.1400977,37.0035239833272,4885,145.105881551304,-37.6838202918021,400985
"4886","2127017",145.189408956194,-37.8158021989503,"Melbourne",144.9750162,-37.82003131,18883.0056474717,88.5038508386132,4886,145.185381551304,-37.8163221785811,359906
"4887","2132106",145.165838841292,-37.8978879112523,"Melbourne",144.9750162,-37.82003131,18885.6204940083,117.270144728674,4887,145.159881551304,-37.896862541133,334911
"4888","2122041",145.067525260325,-37.666544777294,"Melbourne",144.9750162,-37.82003131,18886.4604959007,25.4544411961207,4888,145.068381551304,-37.6656337583226,406615
"4889","2134245",144.778109690613,-37.8878001006619,"Melbourne",144.9750162,-37.82003131,18891.1856424639,-113.491359863129,4889,144.778881551304,-37.8864702362876,338008
"4890","2119748",145.125164398745,-37.6984615454348,"Melbourne",144.9750162,-37.82003131,18897.7965552484,44.2711407344544,4890,145.123881551304,-37.6994087490702,396155
"4891","2131014",145.130688576207,-37.9373689548258,"Melbourne",144.9750162,-37.82003131,18899.4828570187,133.631845796501,4891,145.131381551304,-37.9358336843033,322812
"4892","2119003",145.059013455962,-37.9767582425946,"Melbourne",144.9750162,-37.82003131,18899.6806761028,157.049907135595,4892,145.059381551304,-37.977402903685,309892
"4893","2122011",145.074225007716,-37.6690522963626,"Melbourne",144.9750162,-37.82003131,18901.557267118,27.4261735960508,4893,145.072881551304,-37.6682318345339,405810
"4894","2134211",144.769394588031,-37.8694215291437,"Melbourne",144.9750162,-37.82003131,18910.3632380035,-106.855339220261,4894,144.771381551304,-37.8682837028082,343648
"4895","2122015",145.056832149399,-37.6624696358301,"Melbourne",144.9750162,-37.82003131,18916.5466430209,22.2992191610998,4895,145.057881551304,-37.6630356821112,407417
"4896","2121864",145.028594291552,-37.6549652631585,"Melbourne",144.9750162,-37.82003131,18919.8875847195,14.3800396408203,4896,145.029381551304,-37.6552414534772,409826
"4897","2133230",144.799245027378,-37.7220838388856,"Melbourne",144.9750162,-37.82003131,18921.2771232432,-54.7639674654944,4897,144.798381551304,-37.7227914349724,388793
"4898","2119005",145.054566900909,-37.978435125081,"Melbourne",144.9750162,-37.82003131,18923.040919318,158.357943110347,4898,145.053381551304,-37.977402903685,309890
"4899","2127012",145.189846610725,-37.8257492113669,"Melbourne",144.9750162,-37.82003131,18925.0808864463,91.86396955454,4899,145.185381551304,-37.8267144834265,356682
"4900","2124705",144.91491263889,-37.6563326816181,"Melbourne",144.9750162,-37.82003131,18925.8323041396,-16.172575434391,4900,144.915381551304,-37.6552414534772,409788
"4901","2119703",145.120951781421,-37.694924288763,"Melbourne",144.9750162,-37.82003131,18926.1359744252,42.6386764785019,4901,145.119381551304,-37.6968106728588,396960
"4902","2124606",144.905011663693,-37.6588152462864,"Melbourne",144.9750162,-37.82003131,18927.6922691107,-18.9304742686597,4902,144.906381551304,-37.6604376058999,408173
"4903","2133227",144.801226273422,-37.719777913325,"Melbourne",144.9750162,-37.82003131,18928.1877544758,-53.8259969922106,4903,144.799881551304,-37.720193358761,389599
"4904","2127221",145.188149803437,-37.8429562861662,"Melbourne",144.9750162,-37.82003131,18934.6167430266,97.6897584960564,4904,145.185381551304,-37.8423029406946,351846
"4905","2133040",144.773286835711,-37.7610645836846,"Melbourne",144.9750162,-37.82003131,18935.758805949,-69.6393923483715,4905,144.775881551304,-37.7617625781427,376695
"4906","2119007",145.063179306649,-37.9756774899999,"Melbourne",144.9750162,-37.82003131,18936.4120978952,155.889406863368,4906,145.063881551304,-37.9748048274736,310699
"4907","2127201",145.188812028567,-37.8390030404439,"Melbourne",144.9750162,-37.82003131,18939.0921521287,96.344671376863,4907,145.183881551304,-37.8397048644833,352651
"4908","2124703",144.921859116772,-37.654690610774,"Melbourne",144.9750162,-37.82003131,18940.1955725698,-14.2489533355419,4908,144.921381551304,-37.6552414534772,409790
"4909","2122802",144.814510584969,-37.7065004173955,"Melbourne",144.9750162,-37.82003131,18942.19830249,-48.1306825637561,4909,144.816381551304,-37.7072029777042,393635
"4910","2133026",144.766017011339,-37.7797285182586,"Melbourne",144.9750162,-37.82003131,18942.5175690108,-76.2210649645118,4910,144.768381551304,-37.7799491116221,371051
"4911","2133015",144.767694760878,-37.774440056763,"Melbourne",144.9750162,-37.82003131,18947.8503395145,-74.3847523929534,4911,144.768381551304,-37.7747529591994,372663
"4912","2134216",144.770057930731,-37.8722730971395,"Melbourne",144.9750162,-37.82003131,18948.6073326589,-107.826349973851,4912,144.771381551304,-37.8734798552309,342036
"4913","2127317",145.186213767403,-37.8531057490829,"Melbourne",144.9750162,-37.82003131,18950.1374207366,101.151047283686,4913,145.182381551304,-37.85269524554,348621
"4914","2134224",144.774709519779,-37.8826743155849,"Melbourne",144.9750162,-37.82003131,18950.5594479012,-111.54533550533,4914,144.775881551304,-37.8812740838649,339619
"4915","2133441",144.787053913223,-37.7369638562351,"Melbourne",144.9750162,-37.82003131,18952.5515600967,-60.7310956042619,4915,144.789381551304,-37.7383798922405,383954
"4916","2118804",145.070585728801,-37.9730825257123,"Melbourne",144.9750162,-37.82003131,18953.8449563135,153.738883309833,4916,145.071381551304,-37.9722067512623,311508
"4917","2120909",145.130925870818,-37.7022748569618,"Melbourne",144.9750162,-37.82003131,18962.2403992099,46.2598274821797,4917,145.131381551304,-37.7020068252815,395352
"4918","2115848",145.178430850924,-37.7637546329351,"Melbourne",144.9750162,-37.82003131,18974.4440733375,70.642784117127,4918,145.173381551304,-37.764360654354,376022
"4919","2116823",145.04796145668,-37.9809119256817,"Melbourne",144.9750162,-37.82003131,18974.4738859852,160.291486143783,4919,145.048881551304,-37.9800009798963,309082
"4920","2126136",145.18941575102,-37.8016973774781,"Melbourne",144.9750162,-37.82003131,18988.9163631738,83.7567056441846,4920,145.185381551304,-37.800733721313,364742
"4921","2132143",145.180185536381,-37.8729789118044,"Melbourne",144.9750162,-37.82003131,18990.3100293013,108.03494486328,4921,145.176381551304,-37.8734798552309,342171
"4922","2120919",145.152633192085,-37.7230559668376,"Melbourne",144.9750162,-37.82003131,18993.1714591837,55.3123072133447,4922,145.150881551304,-37.7253895111837,388104
"4923","2132105",145.16490564486,-37.9015554730249,"Melbourne",144.9750162,-37.82003131,19002.7074679144,118.478600453078,4923,145.161381551304,-37.8994606173444,334106
"4924","2133223",144.794640427554,-37.7260227541918,"Melbourne",144.9750162,-37.82003131,19010.9604748224,-56.5457771341418,4924,144.793881551304,-37.7253895111837,387985
"4925","2116802",145.035381566107,-37.9845426229716,"Melbourne",144.9750162,-37.82003131,19016.0886090934,163.833843538074,4925,145.035381551304,-37.9825990561077,308272
"4926","2133407",144.791348751832,-37.7299706468829,"Melbourne",144.9750162,-37.82003131,19019.7762967512,-58.1299643209073,4926,144.793881551304,-37.7305856636064,386373
"4927","2119004",145.057097787736,-37.9786707732116,"Melbourne",144.9750162,-37.82003131,19030.6649850337,157.765405489637,4927,145.056381551304,-37.977402903685,309891
"4928","2115866",145.172119990758,-37.7497932896459,"Melbourne",144.9750162,-37.82003131,19032.5099521288,65.669220924227,4928,145.168881551304,-37.7513702732973,380050
"4929","2132118",145.17526349475,-37.8848574990179,"Melbourne",144.9750162,-37.82003131,19035.7226617386,112.231998205023,4929,145.170381551304,-37.8838721600763,338945
"4930","2116831",145.039895004257,-37.983700522223,"Melbourne",144.9750162,-37.82003131,19041.5254275517,162.611082145917,4930,145.039881551304,-37.9851971323191,307467
"4931","2133043",144.775339051228,-37.7543048401426,"Melbourne",144.9750162,-37.82003131,19041.6346450198,-67.3266886491502,4931,144.777381551304,-37.7539683495086,379114
"4932","2115846",145.17695763943,-37.7587383559307,"Melbourne",144.9750162,-37.82003131,19044.249015996,68.9278642903513,4932,145.173381551304,-37.7591645019313,377634
"4933","2132142",145.182728113172,-37.8682223609417,"Melbourne",144.9750162,-37.82003131,19048.860157852,106.309073110183,4933,145.179381551304,-37.8682837028082,343784
"4934","2127010",145.191100217459,-37.8287220330032,"Melbourne",144.9750162,-37.82003131,19048.86601071,92.8485628300543,4934,145.186881551304,-37.8293125596379,355876
"4935","2120915",145.148902752464,-37.7180030831337,"Melbourne",144.9750162,-37.82003131,19051.6528748092,53.3615047531724,4935,145.149381551304,-37.7175952825497,390522
"4936","2133510",144.780805650733,-37.7444720287311,"Melbourne",144.9750162,-37.82003131,19053.3428733948,-63.7311515716611,4936,144.780381551304,-37.7435760446632,382339
"4937","2134218",144.769962759483,-37.8750739452775,"Melbourne",144.9750162,-37.82003131,19053.6506538981,-108.711921844527,4937,144.769881551304,-37.8760779314422,341229
"4938","2134223",144.772382592291,-37.8806952148529,"Melbourne",144.9750162,-37.82003131,19062.7442290643,-110.701679944706,4938,144.772881551304,-37.8812740838649,339618
"4939","2127040",145.191142720441,-37.8093061235347,"Melbourne",144.9750162,-37.82003131,19067.8570552001,86.3393766083191,4939,145.186881551304,-37.808527949947,362324
"4940","2118816",145.087828194273,-37.966728880136,"Melbourne",144.9750162,-37.82003131,19068.0275918272,148.713089926685,4940,145.086381551304,-37.9670105988396,313125
"4941","2118803",145.077653634325,-37.9713746091357,"Melbourne",144.9750162,-37.82003131,19070.4732543384,151.814141120485,4941,145.077381551304,-37.9722067512623,311510
"4942","2133012",144.767663066839,-37.7704615932354,"Melbourne",144.9750162,-37.82003131,19073.6707225703,-73.1044442296276,4942,144.768381551304,-37.7695568067767,374275
"4943","2127034",145.191485476226,-37.8132872484862,"Melbourne",144.9750162,-37.82003131,19075.0231058012,87.6751999623131,4943,145.186881551304,-37.8137241023697,360712
"4944","2131012",145.133101680858,-37.9376641476543,"Melbourne",144.9750162,-37.82003131,19076.2781455848,133.262983715658,4944,145.132881551304,-37.9384317605147,322006
"4945","2116828",145.051559197725,-37.9809028051178,"Melbourne",144.9750162,-37.82003131,19082.8398579985,159.398061136579,4945,145.051881551304,-37.9800009798963,309083
"4946","2122026",145.047056604334,-37.6578794256003,"Melbourne",144.9750162,-37.82003131,19084.8806545798,19.3362681296454,4946,145.045881551304,-37.6578395296885,409025
"4947","2122004",145.04246431059,-37.6566070097559,"Melbourne",144.9750162,-37.82003131,19088.2141853768,18.0551758804672,4947,145.042881551304,-37.6578395296885,409024
"4948","2115801",145.181541444099,-37.7678179049452,"Melbourne",144.9750162,-37.82003131,19091.1912120625,72.1954778742037,4948,145.179381551304,-37.7695568067767,374412
"4949","2124613",144.900131220678,-37.6586202584394,"Melbourne",144.9750162,-37.82003131,19092.573236934,-20.1244268992476,4949,144.900381551304,-37.6604376058999,408171
"4950","2132112",145.174286929551,-37.8881634524876,"Melbourne",144.9750162,-37.82003131,19098.1216869148,113.352733032986,4950,145.171881551304,-37.8864702362876,338139
"4951","2115845",145.176070749436,-37.755514191591,"Melbourne",144.9750162,-37.82003131,19102.9085404524,67.8389338119429,4951,145.171881551304,-37.75656642572,378439
"4952","2116832",145.030507825706,-37.9864781706591,"Melbourne",144.9750162,-37.82003131,19108.5167327243,165.244596048972,4952,145.029381551304,-37.9877952085304,306658
"4953","2127204",145.19138944506,-37.8337506572541,"Melbourne",144.9750162,-37.82003131,19110.0108461708,94.5231753366521,4953,145.186881551304,-37.8345087120606,354264
"4954","2134021",144.806665303658,-37.7114780062088,"Melbourne",144.9750162,-37.82003131,19110.3428264741,-50.7454049576111,4954,144.807381551304,-37.712399130127,392020
"4955","2133438",144.787146518652,-37.7339358887454,"Melbourne",144.9750162,-37.82003131,19111.526388886,-59.8374620546011,4955,144.786381551304,-37.7331837398178,385565
